id_reserva,id_host,ciudad,id_barrio,barrio,latitud,longitud,tipo_host,precio,minimo_noches,numero_resenias,ultima_resenia,resenias_por_mes,suma_host_duenio,ocupacion_anio
48678,HBA0100,Buenos Aires,BA028,Recoleta,-34.58722,-58.39676,Private room,7653,3,1,30/12/2010,0.01,2,365
100930,HBA0225,Buenos Aires,BA003,Balvanera,-34.60475,-58.4093,Entire home/apt,2990,1,2,01/08/2011,0.02,1,331
98934,HBA0219,Buenos Aires,BA028,Recoleta,-34.5899,-58.39027,Entire home/apt,4185,1,1,09/08/2011,0.01,1,365
77942,HBA0158,Buenos Aires,BA031,San Cristobal,-34.62364,-58.39976,Private room,2990,1,1,31/01/2012,0.01,1,0
197288,HBA0390,Buenos Aires,BA028,Recoleta,-34.59243,-58.3894,Entire home/apt,2990,30,1,22/02/2012,0.01,1,356
316045,HBA0549,Buenos Aires,BA021,Palermo,-34.57892,-58.43473,Entire home/apt,5680,3,1,01/04/2012,0.01,2,365
516717,HBA0512,Buenos Aires,BA021,Palermo,-34.58008,-58.41035,Entire home/apt,2392,5,1,26/09/2012,0.01,1,365
681311,HBA1003,Buenos Aires,BA032,San Nicolas,-34.60255,-58.37109,Entire home/apt,1315,7,1,05/11/2012,0.01,1,250
784895,HBA1154,Buenos Aires,BA028,Recoleta,-34.58902,-58.39772,Private room,2392,2,1,23/11/2012,0.01,1,365
130424,HBA0274,Buenos Aires,BA021,Palermo,-34.57935,-58.43484,Entire home/apt,3229,3,9,31/12/2012,0.09,2,177
190830,HBA0378,Buenos Aires,BA017,Monserrat,-34.6148,-58.38693,Private room,1614,3,3,17/01/2013,0.03,3,365
888565,HBA0775,Buenos Aires,BA011,Colegiales,-34.57604,-58.44698,Entire home/apt,1495,30,1,29/01/2013,0.01,3,365
928850,HBA1373,Buenos Aires,BA033,San Telmo,-34.62039,-58.37427,Private room,718,7,1,18/02/2013,0.01,1,62
984852,HBA1164,Buenos Aires,BA003,Balvanera,-34.60559,-58.39423,Entire home/apt,2750,7,1,26/06/2013,0.01,5,365
76005,HBA0121,Buenos Aires,BA028,Recoleta,-34.5891,-58.39269,Entire home/apt,2392,5,6,17/08/2013,0.06,8,365
1140794,HBA1612,Buenos Aires,BA005,Belgrano,-34.56889,-58.45815,Entire home/apt,1794,60,1,04/09/2013,0.01,1,365
26258,HBA0056,Buenos Aires,BA003,Balvanera,-34.5991,-58.41053,Entire home/apt,2093,7,2,23/10/2013,0.02,2,362
1333001,HBA1786,Buenos Aires,BA028,Recoleta,-34.58771,-58.40495,Entire home/apt,2272,2,2,26/10/2013,0.03,1,358
1455087,HBA1633,Buenos Aires,BA032,San Nicolas,-34.60494,-58.39083,Private room,2033,7,1,28/10/2013,0.01,5,184
97043,HBA0214,Buenos Aires,BA032,San Nicolas,-34.60517,-58.3884,Entire home/apt,2153,28,9,25/11/2013,0.1,2,328
1343496,HBA0840,Buenos Aires,BA003,Balvanera,-34.60111,-58.40493,Entire home/apt,3707,30,2,30/11/2013,0.03,2,75
725321,HBA1054,Buenos Aires,BA021,Palermo,-34.59267,-58.41892,Private room,5082,10,2,03/12/2013,0.02,7,189
1213724,HBA1670,Buenos Aires,BA032,San Nicolas,-34.60147,-58.3908,Entire home/apt,5979,6,2,10/12/2013,0.03,1,365
925662,HBA1362,Buenos Aires,BA002,Almagro,-34.6062,-58.41563,Entire home/apt,2631,15,1,16/12/2013,0.01,2,328
288861,HBA0408,Buenos Aires,BA029,Retiro,-34.59768,-58.38452,Entire home/apt,14948,2,1,30/12/2013,0.01,15,365
